mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/opa.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/opa.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/opa.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:hgctl/pkg/manifests/istiobase/templates/clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:hgctl/pkg/manifests/istiobase/templates/clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:hgctl/pkg/manifests/istiobase/templates/clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:hgctl/pkg/manifests/istiobase/templates/clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:hgctl/pkg/manifests/istiobase/templates/clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/consul.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/consul.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/consul.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/consul.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/dubbo.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/dubbo.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/eureka.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/eureka.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/eureka.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/eureka.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/nacos.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/nacos.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:samples/quickstart.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:samples/quickstart.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:samples/quickstart.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:samples/quickstart.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-deployment.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-deployment.yaml,Specify a storage limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:samples/hello-world/quickstart.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:samples/hello-world/quickstart.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
daobataotie/mssql-mcp,Python,community,20,secrets:S6703,Database passwords should not be disclosed,VULNERABILITY,BLOCKER,daobataotie.mssql-mcp:src/server.py,Make sure this database password gets changed and removed from the code.,cwe,SECURITY
amornpan/py-mcp-mssql,Python,community,15,secrets:S6703,Database passwords should not be disclosed,VULNERABILITY,BLOCKER,amornpan.py-mcp-mssql:src/mssql/server.py,Make sure this database password gets changed and removed from the code.,cwe,SECURITY
kiliczsh/mcp-mongo-server,TypeScript,community,134,secrets:S6694,MongoDB database passwords should not be disclosed,VULNERABILITY,BLOCKER,kiliczsh.mcp-mongo-server:docker-entrypoint.sh,Make sure this MongoDB database password gets changed and removed from the code.,cwe,SECURITY
kiliczsh/mcp-mongo-server,TypeScript,community,134,secrets:S6694,MongoDB database passwords should not be disclosed,VULNERABILITY,BLOCKER,kiliczsh.mcp-mongo-server:docker-entrypoint.sh,Make sure this MongoDB database password gets changed and removed from the code.,cwe,SECURITY
strowk/mcp-k8s-go,Go,community,244,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,strowk.mcp-k8s-go:internal/k8s/apps/v1/deployment/test_manifests/test_deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
strowk/mcp-k8s-go,Go,community,244,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,strowk.mcp-k8s-go:internal/k8s/apps/v1/deployment/test_manifests/test_deployment.yaml,Specify a memory limit for this container.,,SECURITY
JexinSam/mssql_mcp_server,Python,community,12,secrets:S6703,Database passwords should not be disclosed,VULNERABILITY,BLOCKER,JexinSam.mssql_mcp_server:src/mssql_mcp_server/server.py,Make sure this database password gets changed and removed from the code.,cwe,SECURITY
topoteretes/cognee,Jupyter Notebook,community,1938,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,topoteretes.cognee:helm/templates/cognee_deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
topoteretes/cognee,Jupyter Notebook,community,1938,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,topoteretes.cognee:helm/templates/postgres_deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
topoteretes/cognee,Jupyter Notebook,community,1938,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,topoteretes.cognee:helm/templates/postgres_deployment.yaml,Specify a storage limit for this container.,,SECURITY
topoteretes/cognee,Jupyter Notebook,community,1938,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,topoteretes.cognee:helm/templates/postgres_deployment.yaml,Specify a memory limit for this container.,,SECURITY
SecretiveShell/MCP-Bridge,Python,mined,490,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,SecretiveShell.MCP-Bridge:charts/mcp-bridge/templates/deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
run-llama/llama_index,Python,mined,40204,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-lantern/llama_index/vector_stores/lantern/base.py,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
run-llama/llama_index,Python,mined,40204,secrets:S6739,Redis credentials should not be disclosed,VULNERABILITY,BLOCKER,run-llama.llama_index:llama-index-integrations/storage/chat_store/llama-index-storage-chat-store-redis/llama_index/storage/chat_store/redis/base.py,"Make sure these Redis credentials get revoked, changed, and removed from the code.",cwe,SECURITY
run-llama/llama_index,Python,mined,40204,secrets:S7013,OpenAI API keys should not be disclosed,VULNERABILITY,BLOCKER,run-llama.llama_index:llama-index-packs/llama-index-packs-recursive-retriever/examples/small_to_big.ipynb,"Make sure this OpenAI API key gets revoked, changed, and removed from the code.",cwe,SECURITY
run-llama/llama_index,Python,mined,40204,secrets:S7013,OpenAI API keys should not be disclosed,VULNERABILITY,BLOCKER,run-llama.llama_index:llama-index-packs/llama-index-packs-sentence-window-retriever/examples/sentence_window.ipynb,"Make sure this OpenAI API key gets revoked, changed, and removed from the code.",cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:docker/compose.full.swarm.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:docker/compose.full.swarm.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:docker/compose.full.swarm.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:docker/compose.full.swarm.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:docker/compose.full.swarm.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
SciPhi-AI/R2R,Python,mined,5708,python:S2755,XML parsers should not be vulnerable to XXE attacks,VULNERABILITY,BLOCKER,SciPhi-AI.R2R:py/shared/utils/splitter/text.py,Disable access to external entities in XML parsing.,cwe,SECURITY
pixeltable/pixeltable,Python,mined,164,ipython:S5445,Insecure temporary file creation methods should not be used,VULNERABILITY,CRITICAL,pixeltable.pixeltable:docs/notebooks/feature-guides/working-with-external-files.ipynb,'tempfile.mktemp' is insecure. Use 'tempfile.TemporaryFile' instead,cwe,SECURITY
langflow-ai/langflow,Python,mined,52334,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,langflow-ai.langflow:docker/dev.docker-compose.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
langflow-ai/langflow,Python,mined,52334,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,langflow-ai.langflow:docker_example/pre.docker-compose.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
langflow-ai/langflow,Python,mined,52334,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,langflow-ai.langflow:docker_example/docker-compose.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
langflow-ai/langflow,Python,mined,52334,python:S5659,JWT should be signed and verified,VULNERABILITY,CRITICAL,langflow-ai.langflow:src/backend/base/langflow/services/auth/utils.py,Don't use a JWT token without verifying its signature.,"cwe, privacy",SECURITY
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/ai-agent-service/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/ai-foundry-deepseek/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/function-calling/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
yamadashy/repomix,TypeScript,mined,13474,secrets:S6689,GitHub tokens should not be disclosed,VULNERABILITY,BLOCKER,yamadashy.repomix:tests/core/security/workers/securityCheckWorker.test.ts,"Make sure this Github token gets revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/08_training/Training_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/09_planning/Planning_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/11_testing/Testing_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:AGENT_PROTOTYPES/appointment-agent/compose.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-6/deployment/docker-compose-example.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-1/00_edges_nodes_graph.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/1_streaming_interruption.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/1_streaming_interruption.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/2_breakpoints.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/2_breakpoints.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/3_edit_state_human_feedback.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
