mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
sourcegraph/openctx,TypeScript,mined,214,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,sourcegraph.openctx:client/browser/src/contentScript/github/codeView.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
sourcegraph/openctx,TypeScript,mined,214,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,sourcegraph.openctx:web/src/content/contentPages.tsx,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
zed-industries/postgres-context-server,JavaScript,mined,11,javascript:S4125,"""typeof"" expressions should only be compared to valid values",BUG,CRITICAL,zed-industries.postgres-context-server:index.mjs,Invalid typeof comparison value.,,RELIABILITY
emiryasar/mcp_code_analyzer,Python,mined,29,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,emiryasar.mcp_code_analyzer:mcp_code_analyzer/tools/modification_tools.py,Add 1 missing arguments; '_restore_backup' expects 3 positional arguments.,cwe,RELIABILITY
9600dev/llmvm,Python,mined,34,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,9600dev.llmvm:scripts/comparison/objects.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
9600dev/llmvm,Python,mined,34,python:S1143,"Break, continue and return statements should not occur in ""finally"" blocks",BUG,CRITICAL,9600dev.llmvm:llmvm/client/parsing.py,"Remove this ""return"" statement from this ""finally"" block.","cwe, error-handling, pitfall",RELIABILITY
9600dev/llmvm,Python,mined,34,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,9600dev.llmvm:llmvm/common/objects.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
cyberchitta/llm-context.py,Python,mined,142,python:S2190,Recursion should not be infinite,BUG,BLOCKER,cyberchitta.llm-context.py:src/llm_context/file_selector.py,Add a way to break out of this method's recursion.,suspicious,RELIABILITY
modelcontextprotocol/python-sdk,Python,mined,4798,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,modelcontextprotocol.python-sdk:src/mcp/client/stdio/win32.py,Remove this unexpected named argument 'creationflags'.,cwe,RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent/delegation/pool.py,"Fix this code; ""MessageEmitter"" does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent_models/__init__.py,"Change or remove this string; ""AISuiteModelConfig"" is not defined.",design,RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent/talk/talk.py,"Fix this code; ""Talk"" does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent/delegation/teamrun.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent/delegation/team.py,"Fix this code; ""Talk"" does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
phil65/llmling-agent,Python,mined,14,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,phil65.llmling-agent:src/llmling_agent/delegation/teamrun.py,"Fix this code; ""Talk"" does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
lastmile-ai/mcp-agent,Python,mined,1534,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,lastmile-ai.mcp-agent:src/mcp_agent/mcp/stdio.py,Remove this unexpected named argument 'creationflags'.,cwe,RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,deepset-ai.haystack-core-integrations:integrations/qdrant/src/haystack_integrations/document_stores/qdrant/document_store.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,deepset-ai.haystack-core-integrations:integrations/nvidia/tests/test_utils.py,"Refactor this test; if this assertion’s argument raises an exception, the assertion will never get executed.","tests, unused, pitfall",RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,deepset-ai.haystack-core-integrations:integrations/nvidia/tests/test_utils.py,"Refactor this test; if this assertion’s argument raises an exception, the assertion will never get executed.","tests, unused, pitfall",RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,deepset-ai.haystack-core-integrations:integrations/nvidia/tests/test_utils.py,"Refactor this test; if this assertion’s argument raises an exception, the assertion will never get executed.","tests, unused, pitfall",RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,deepset-ai.haystack-core-integrations:integrations/nvidia/tests/test_utils.py,"Refactor this test; if this assertion’s argument raises an exception, the assertion will never get executed.","tests, unused, pitfall",RELIABILITY
deepset-ai/haystack-core-integrations,Python,mined,138,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,deepset-ai.haystack-core-integrations:integrations/nvidia/src/haystack_integrations/utils/nvidia/__init__.py,"Change or remove this string; ""validate_hosted_model"" is not defined.",design,RELIABILITY
Davidyz/VectorCode,Python,mined,161,python:S3862,"Iterable unpacking, ""for-in"" loops and ""yield from"" should use an Iterable object",BUG,BLOCKER,Davidyz.VectorCode:tests/test_common.py,Replace this expression with an iterable object.,"defign, typing, pitfall",RELIABILITY
Davidyz/VectorCode,Python,mined,161,python:S1143,"Break, continue and return statements should not occur in ""finally"" blocks",BUG,CRITICAL,Davidyz.VectorCode:src/vectorcode/main.py,"Remove this ""return"" statement from this ""finally"" block.","cwe, error-handling, pitfall",RELIABILITY
neo4j-contrib/mcp-neo4j,Python,official,218,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,neo4j-contrib.mcp-neo4j:servers/mcp-neo4j-cloud-aura-api/src/mcp_neo4j_aura_manager/server.py,Add 2 missing arguments; 'main' expects 2 positional arguments.,cwe,RELIABILITY
elie222/inbox-zero,TypeScript,official,5535,typescript:S4335,Type intersections should use meaningful types,BUG,CRITICAL,elie222.inbox-zero:apps/web/utils/auth.ts,Remove this type without members or change this type intersection.,"type-dependent, pitfall",RELIABILITY
eqtylab/mcp-guardian,Rust,community,49,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,eqtylab.mcp-guardian:mcp-guardian/src/utils.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
tevonsb/homeassistant-mcp,TypeScript,community,208,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,tevonsb.homeassistant-mcp:src/hass/index.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
ferrislucas/iterm-mcp,TypeScript,community,263,typescript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,ferrislucas.iterm-mcp:src/CommandExecutor.ts,Unsafe usage of ReturnStatement.,"cwe, error-handling",RELIABILITY
wong2/mcp-cli,JavaScript,community,235,javascript:S2189,Loops should not be infinite,BUG,BLOCKER,wong2.mcp-cli:src/mcp.js,Correct this loop's end condition to not be invariant.,,RELIABILITY
kiliczsh/mcp-mongo-server,TypeScript,community,134,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,kiliczsh.mcp-mongo-server:src/schemas/completion.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
topoteretes/cognee,Jupyter Notebook,community,1938,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,topoteretes.cognee:cognee/infrastructure/databases/hybrid/falkordb/FalkorDBAdapter.py,Add 1 missing arguments; 'delete_data_points' expects 2 positional arguments.,cwe,RELIABILITY
topoteretes/cognee,Jupyter Notebook,community,1938,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,topoteretes.cognee:cognee/infrastructure/databases/hybrid/falkordb/FalkorDBAdapter.py,Add 1 missing arguments; 'delete_data_points' expects 2 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/embeddings/llama-index-embeddings-vllm/llama_index/embeddings/vllm/base.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S3827,"Variables, classes and functions should be defined before being used",BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-sagemaker-endpoint/llama_index/llms/sagemaker_endpoint/base.py,region_name is used before it is defined. Move the definition before.,"python3, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5632,Raised Exceptions must derive from BaseException,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-nvidia/llama_index/multi_modal_llms/nvidia/utils.py,Change this code so that it raises an object deriving from BaseException.,"error-handling, python3",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-bedrock-converse/tests/test_bedrock_converse_utils.py,"Refactor this test; if this assertion’s argument raises an exception, the assertion will never get executed.","tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-zhipuai/tests/test_multi_modal_llms_zhipuai.py,Don’t perform an assertion here; An exception is expected to be raised before its execution.,"tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-nile/tests/test_vector_stores_nile.py,Don’t perform an assertion here; An exception is expected to be raised before its execution.,"tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-nile/tests/test_vector_stores_nile.py,Don’t perform an assertion here; An exception is expected to be raised before its execution.,"tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5915,Assertions should not be made at the end of blocks expecting an exception,BUG,CRITICAL,run-llama.llama_index:llama-index-integrations/vector_stores/llama-index-vector-stores-nile/tests/test_vector_stores_nile.py,Don’t perform an assertion here; An exception is expected to be raised before its execution.,"tests, unused, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/embeddings/llama-index-embeddings-vertex-endpoint/llama_index/embeddings/vertex_endpoint/base.py,"Fix this code; this expression does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5644,Item operations should be done on objects supporting them,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/embeddings/llama-index-embeddings-vertex-endpoint/llama_index/embeddings/vertex_endpoint/base.py,"Fix this code; this expression does not have a ""__getitem__"" method.","python3, typing",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/workflow/context.py,Add 1 missing arguments; 'deserialize' expects 2 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/workflow/context.py,Add 1 missing arguments; 'deserialize' expects 2 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S3827,"Variables, classes and functions should be defined before being used",BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-cohere/llama_index/llms/cohere/base.py,documents is used before it is defined. Move the definition before.,"python3, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S3827,"Variables, classes and functions should be defined before being used",BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-cohere/llama_index/llms/cohere/base.py,i is used before it is defined. Move the definition before.,"python3, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/graph_stores/llama-index-graph-stores-neptune/llama_index/graph_stores/neptune/base_property_graph.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-vllm/llama_index/llms/vllm/base.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/readers/llama-index-readers-box/llama_index/readers/box/BoxAPI/box_api.py,Add 1 missing arguments; '_do_request' expects 2 positional arguments.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S2189,Loops should not be infinite,BUG,BLOCKER,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,'a' is not modified in this loop.,,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S2189,Loops should not be infinite,BUG,BLOCKER,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,'e' is not modified in this loop.,,RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,javascript:S1143,"Jump statements should not occur in ""finally"" blocks",BUG,CRITICAL,run-llama.llama_index:docs/docs/examples/index_structs/knowledge_graph/kuzugraph_draw.html,Unsafe usage of ThrowStatement.,"cwe, error-handling",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/readers/llama-index-readers-file/tests/test_docs.py,Remove this unexpected named argument 'text'.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S930,The number and name of arguments passed to a function should match its parameters,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/readers/llama-index-readers-file/tests/test_docs.py,Remove this unexpected named argument 'text'.,cwe,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/agent/__init__.py,"Change or remove this string; ""TaskStep"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/agent/__init__.py,"Change or remove this string; ""TaskStepOutput"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5719,Instance and class methods should have at least one positional parameter,BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/graph_stores/llama-index-graph-stores-neptune/llama_index/graph_stores/neptune/base.py,"Add a ""self"" or class parameter","python3, syntax",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-networks/llama_index/networks/__init__.py,"Change or remove this string; ""ContributorClient"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-networks/llama_index/networks/__init__.py,"Change or remove this string; ""ContributorClientSettings"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-networks/llama_index/networks/__init__.py,"Change or remove this string; ""ContributorService"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-networks/llama_index/networks/__init__.py,"Change or remove this string; ""ContributorServiceSettings"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S2734,"""__init__"" should not return a value",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/node_parser/relational/unstructured_element.py,Remove this return value.,"convention, pitfall",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""GPTKnowledgeGraphIndex"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""SummaryPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""TreeInsertPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""TreeSelectPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""TreeSelectMultiplePrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""RefinePrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""QuestionAnswerPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""KeywordExtractPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""QueryKeywordExtractPrompt"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""VellumPredictor"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/__init__.py,"Change or remove this string; ""VellumPromptRegistry"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/evaluation/__init__.py,"Change or remove this string; ""RelevanceEvaluator"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/indices/__init__.py,"Change or remove this string; ""GPTKnowledgeGraphIndex"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/indices/postprocessor.py,"Change or remove this string; ""FlagEmbeddingReranker"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/langchain_helpers/agents/__init__.py,"Change or remove this string; ""LlamaGraphTool"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/langchain_helpers/agents/__init__.py,"Change or remove this string; ""GraphToolConfig"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5807,"Only defined names should be listed in ""__all__""",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/retrievers/__init__.py,"Change or remove this string; ""BM25Retriever"" is not defined.",design,RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5724,"Property getter, setter and deleter methods should have the expected number of parameters",BUG,BLOCKER,run-llama.llama_index:llama-index-core/llama_index/core/settings.py,"Remove 1 parameters; property setter methods receive ""self"" and a value.","design, bad-practice",RELIABILITY
run-llama/llama_index,Python,mined,40204,python:S5724,"Property getter, setter and deleter methods should have the expected number of parameters",BUG,BLOCKER,run-llama.llama_index:llama-index-integrations/llms/llama-index-llms-nvidia-triton/llama_index/llms/nvidia_triton/base.py,"Remove 1 parameters; property getter methods receive only ""self"".","design, bad-practice",RELIABILITY
